[11-17-57] [ENTRY]: [Nathan]
[11-17-57] [SYSTEM_IO]: System data pared in IOUtil's static block
[11-17-57] [SYSTEM_IO]: Suggestions pared in IOUtil's static block
[11-17-59] [LOGIN]: [AUTOCYPHER ATTEMPT]
[11-17-59] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[11-17-59] [LOGIN]: [AUTOCYPHER PASS, e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[11-17-59] [SYSTEM_IO]: Userdata requested: Name
[11-18-00] [SYSTEM_IO]: Userdata requested: RandomBackground
[11-18-00] [SYSTEM_IO]: Userdata requested: FullScreen
[11-18-00] [SYSTEM_IO]: Userdata requested: Name
[11-18-00] [SYSTEM_IO]: Userdata requested: Foreground
[11-18-00] [SYSTEM_IO]: Userdata requested: Foreground
[11-18-00] [SYSTEM_IO]: Userdata requested: FullScreen
[11-18-00] [SYSTEM_IO]: Userdata requested: FullScreen
[11-18-00] [SYSTEM_IO]: Userdata requested: Foreground
[11-18-00] [SYSTEM_IO]: Userdata requested: Font
[11-18-00] [SYSTEM_IO]: Userdata requested: OutputBorder
[11-18-00] [SYSTEM_IO]: Userdata requested: FullScreen
[11-18-00] [SYSTEM_IO]: Userdata requested: InputBorder
[11-18-00] [SYSTEM_IO]: Userdata requested: Foreground
[11-18-00] [SYSTEM_IO]: Userdata requested: Foreground
[11-18-00] [SYSTEM_IO]: Userdata requested: Foreground
[11-18-00] [SYSTEM_IO]: Userdata requested: Font
[11-18-00] [SYSTEM_IO]: Userdata requested: OutputFill
[11-18-00] [SYSTEM_IO]: Userdata requested: InputFill
[11-18-00] [ACTION]: CyderFrame disposed with fastclose: true, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(980, 396, 600, 600)], hash = [978306295], parentFrame = [Object itself is the top level frame], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [Cyder Splash]
[11-18-00] [ACTION]: Console loaded in 4112ms
[11-18-00] [SYSTEM_IO]: Userdata requested: DebugWindows
[11-18-00] [ENTRY]: [TESTING MODE]
[11-18-00] [SYSTEM_IO]: Userdata requested: laststart
[11-18-00] [SYSTEM_IO]: Userdata requested: IntroMusic
[11-18-00] [ACTION]: [Stellar Cyder [Nathan]] [NOTIFICATION] Console loaded in 4112ms
[11-18-01] [SYSTEM_IO]: Userdata requested: persistentnotifications
[11-18-03] [CLIENT]: hellloo
[11-18-03] [SYSTEM_IO]: Userdata requested: filterchat
[11-18-04] [CONSOLE_OUT]: [STRING] Unknown command
[11-18-04] [EXCEPTION]: 
Exception origin: java.base/java.util.Objects.requireNonNull(Objects.java:221)
From line: 221
Trace: java.lang.NullPointerException
	at java.base/java.util.Objects.requireNonNull(Objects.java:221)
	at java.base/java.util.Optional.<init>(Optional.java:106)
	at java.base/java.util.Optional.of(Optional.java:119)
	at cyder.utilities.ReflectionUtil.lambda$getSimilarCommand$2(ReflectionUtil.java:261)
	at java.base/java.util.concurrent.FutureTask.run(FutureTask.java:264)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1167)
	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:641)
	at java.base/java.lang.Thread.run(Thread.java:844)
[11-18-04] [EXCEPTION]: 
Exception origin: java.base/java.util.concurrent.FutureTask.report(FutureTask.java:122)
From line: 122
Trace: java.util.concurrent.ExecutionException: java.util.NoSuchElementException: No value present
	at java.base/java.util.concurrent.FutureTask.report(FutureTask.java:122)
	at java.base/java.util.concurrent.FutureTask.get(FutureTask.java:191)
	at cyder.handlers.internal.InputHandler.unknownInput(InputHandler.java:1535)
	at cyder.handlers.internal.InputHandler.handle(InputHandler.java:246)
	at cyder.ui.ConsoleFrame.lambda$start$2(ConsoleFrame.java:516)
	at java.desktop/javax.swing.JTextField.fireActionPerformed(JTextField.java:508)
	at java.desktop/javax.swing.JTextField.postActionEvent(JTextField.java:723)
	at java.desktop/javax.swing.JTextField$NotifyAction.actionPerformed(JTextField.java:839)
	at java.desktop/javax.swing.SwingUtilities.notifyAction(SwingUtilities.java:1805)
	at java.desktop/javax.swing.JComponent.processKeyBinding(JComponent.java:2901)
	at java.desktop/javax.swing.JComponent.processKeyBindings(JComponent.java:2949)
	at java.desktop/javax.swing.JComponent.processKeyEvent(JComponent.java:2863)
	at java.desktop/java.awt.Component.processEvent(Component.java:6355)
	at java.desktop/java.awt.Container.processEvent(Container.java:2259)
	at java.desktop/java.awt.Component.dispatchEventImpl(Component.java:4961)
	at java.desktop/java.awt.Container.dispatchEventImpl(Container.java:2317)
	at java.desktop/java.awt.Component.dispatchEvent(Component.java:4793)
	at java.desktop/java.awt.KeyboardFocusManager.redispatchEvent(KeyboardFocusManager.java:1955)
	at java.desktop/java.awt.DefaultKeyboardFocusManager.dispatchKeyEvent(DefaultKeyboardFocusManager.java:827)
	at java.desktop/java.awt.DefaultKeyboardFocusManager.preDispatchKeyEvent(DefaultKeyboardFocusManager.java:1096)
	at java.desktop/java.awt.DefaultKeyboardFocusManager.typeAheadAssertions(DefaultKeyboardFocusManager.java:966)
	at java.desktop/java.awt.DefaultKeyboardFocusManager.dispatchEvent(DefaultKeyboardFocusManager.java:792)
	at java.desktop/java.awt.Component.dispatchEventImpl(Component.java:4842)
	at java.desktop/java.awt.Container.dispatchEventImpl(Container.java:2317)
	at java.desktop/java.awt.Window.dispatchEventImpl(Window.java:2758)
