[11:16:14] [ENTRY]: [WINUSER=Nathan]
[11:16:14] [JAVA ARGS]: [LOCATION] [400 S. Monroe St. Tallahassee, FL]
[11:16:15] [LOGIN]: [AUTOCYPHER ATTEMPT]
[11:16:15] [LOGIN]: [AUTOCYPHER PASS]
[11:16:17] [CLIENT]: test
[11:16:19] [ACTION]: CyderButton, text=[Generate] CLICKED
[11:16:20] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:20] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:20] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:20] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:21] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:21] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:22] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:23] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:29] [ACTION]: CyderButton, text=[Generate] CLICKED
[11:16:29] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:30] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:30] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:30] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:30] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:31] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:31] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:32] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:37] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:38] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:38] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:38] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:38] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:38] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:38] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:38] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:39] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:39] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:39] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:39] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:40] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:40] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:40] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:40] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:40] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:40] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:41] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:41] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:41] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:41] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:41] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:41] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:41] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:42] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:42] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:42] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:42] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:42] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:42] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:43] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:43] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:43] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:43] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:43] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:43] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:43] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:44] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:44] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:44] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:44] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:44] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:44] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:44] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:45] [ACTION]: CyderButton, text=[Generate] CLICKED
[11:16:45] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:46] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:46] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:46] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:46] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:46] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:46] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:47] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:47] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:47] [ACTION]: CyderButton, text=[Next Iteration] CLICKED
[11:16:49] [ACTION]: CyderButton, text=[Stop] CLICKED
[11:17:08] [LOGOUT]:  [Nathan]
[11:17:08] [EXIT]: [RUNTIME] 54s
[11:17:08] [EOL]: Log completed, exiting program with code: 25 [Genesis Controlled Exit], exceptions thrown: 0
