[19:05:31] [ENTRY]: [WINUSER=Nathan]
[19:05:31] [SYSTEM_IO]: [GET] [UISCALE] [RETURN VALUE] 1.0
[19:05:37] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:05:40] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:05:43] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:05:46] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:05:49] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:05:52] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:05:55] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:05:58] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:01] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:04] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:07] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:10] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:13] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:16] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:19] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:22] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:25] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:28] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:31] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:34] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:37] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:40] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:43] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:46] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:49] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:52] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:55] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:06:58] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:01] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:04] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:07] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:10] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:13] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:16] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:19] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:22] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:25] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:28] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:31] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:34] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:37] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:40] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:43] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:46] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:49] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:52] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:55] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:07:58] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:01] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:04] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:07] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:10] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:13] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:16] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:19] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:22] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:25] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:28] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:31] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:34] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:37] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:40] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:43] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:46] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:49] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[19:08:52] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[EXTERNAL STOP] Cyder was force closed by an external entity such as an IDE stop or the OS' Task Manager
